,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
GRINA,2.75E-20,-0.280748942,0.143,0.361,4.67E-16,0,GRINA
UQCRFS1,3.43E-20,-0.412094496,0.093,0.314,5.81E-16,0,UQCRFS1
ALOX5AP.2,3.43E-20,-1.042602696,0.267,0.559,5.83E-16,0,ALOX5AP
C4orf48,3.71E-20,-0.585008481,0.177,0.439,6.30E-16,0,C4orf48
FSIP2.1,4.07E-20,1.342967673,0.32,0.178,6.91E-16,0,FSIP2
GCA,4.36E-20,-0.360976034,0.093,0.295,7.40E-16,0,GCA
SUMO3,4.48E-20,-0.416953445,0.103,0.315,7.61E-16,0,SUMO3
HLA-DMB.2,4.57E-20,-0.348774777,0.253,0.5,7.76E-16,0,HLA-DMB
ATP6AP2,4.75E-20,-0.579012706,0.193,0.46,8.06E-16,0,ATP6AP2
MLF2.1,4.79E-20,0.262163882,0.113,0.221,8.13E-16,0,MLF2
TPP1,5.31E-20,0.256126629,0.253,0.397,9.01E-16,0,TPP1
PSME2,6.01E-20,-0.657166585,0.277,0.559,1.02E-15,0,PSME2
AP1S2.1,6.35E-20,-0.728513807,0.143,0.398,1.08E-15,0,AP1S2
SRSF2,6.80E-20,0.335460054,0.307,0.433,1.15E-15,0,SRSF2
LITAF,7.65E-20,-0.266910539,0.28,0.523,1.30E-15,0,LITAF
PGLS.1,9.46E-20,-0.342120453,0.123,0.335,1.60E-15,0,PGLS
TALDO1,1.18E-19,-0.531630511,0.177,0.43,2.00E-15,0,TALDO1
FCER1G.1,1.36E-19,-0.722912159,0.62,0.849,2.31E-15,0,FCER1G
RNH1,1.42E-19,-0.254862598,0.183,0.402,2.40E-15,0,RNH1
RAB31,1.51E-19,0.305774966,0.253,0.397,2.56E-15,0,RAB31
LSP1.1,1.65E-19,-0.782699129,0.253,0.536,2.80E-15,0,LSP1
JPT1.1,1.68E-19,-0.386685151,0.2,0.434,2.86E-15,0,JPT1
REEP5,1.90E-19,-0.261913728,0.183,0.405,3.22E-15,0,REEP5
TAGLN2,2.08E-19,-0.410416988,0.267,0.523,3.53E-15,0,TAGLN2
TUFM,2.09E-19,-0.321228356,0.103,0.306,3.55E-15,0,TUFM
NDUFAB1,2.10E-19,-0.482160044,0.097,0.319,3.56E-15,0,NDUFAB1
CSTB.2,2.13E-19,-0.490457955,0.523,0.777,3.61E-15,0,CSTB
RSL1D1,2.19E-19,-0.33049551,0.107,0.309,3.71E-15,0,RSL1D1
LGALS3.1,2.79E-19,-0.892125472,0.283,0.569,4.74E-15,0,LGALS3
NCL.1,3.10E-19,0.281541924,0.247,0.373,5.25E-15,0,NCL
HEXA.1,4.01E-19,0.337560138,0.18,0.306,6.81E-15,0,HEXA
COMT,4.28E-19,-0.327172122,0.133,0.343,7.27E-15,0,COMT
C1orf162,4.45E-19,-0.349668767,0.347,0.609,7.55E-15,0,C1orf162
SUPT4H1,4.47E-19,-0.496143935,0.097,0.326,7.58E-15,0,SUPT4H1
ALDOA.1,6.36E-19,-0.389463632,0.367,0.631,1.08E-14,0,ALDOA
VSIR.2,7.06E-19,-0.398212003,0.15,0.375,1.20E-14,0,VSIR
NDUFB3,8.60E-19,-0.372690325,0.177,0.409,1.46E-14,0,NDUFB3
CHURC1,8.73E-19,-0.292065226,0.18,0.394,1.48E-14,0,CHURC1
COX17,9.24E-19,-0.354343761,0.24,0.475,1.57E-14,0,COX17
NDUFS6,9.95E-19,-0.494602295,0.183,0.425,1.69E-14,0,NDUFS6
IFNGR2,1.27E-18,0.312954641,0.257,0.385,2.15E-14,0,IFNGR2
GLIPR2,1.32E-18,-0.572837618,0.07,0.267,2.24E-14,0,GLIPR2
EEF1B2,1.39E-18,-0.483887825,0.387,0.658,2.36E-14,0,EEF1B2
PSMD8,1.48E-18,-0.316137658,0.107,0.309,2.52E-14,0,PSMD8
TMED2,1.66E-18,-0.391079052,0.107,0.311,2.82E-14,0,TMED2
GABARAPL2,1.74E-18,-0.485962252,0.167,0.404,2.95E-14,0,GABARAPL2
JUN,1.90E-18,0.566013754,0.463,0.578,3.23E-14,0,JUN
ANXA2.1,1.97E-18,-0.29830113,0.49,0.735,3.34E-14,0,ANXA2
BSG,2.14E-18,0.296614102,0.25,0.377,3.63E-14,0,BSG
ISCU.2,3.07E-18,-0.322999907,0.137,0.347,5.21E-14,0,ISCU
MTCH1,3.21E-18,0.285089427,0.123,0.227,5.45E-14,0,MTCH1
GTF2A2,3.22E-18,-0.46406057,0.093,0.303,5.47E-14,0,GTF2A2
COTL1.2,3.61E-18,-0.364598071,0.403,0.652,6.13E-14,0,COTL1
COX7A2L,3.90E-18,-0.435884002,0.11,0.323,6.63E-14,0,COX7A2L
BAZ1A,4.02E-18,0.388984202,0.193,0.295,6.82E-14,0,BAZ1A
ATP5F1C,4.05E-18,-0.256779881,0.243,0.466,6.87E-14,0,ATP5F1C
CST3,4.08E-18,-0.722254274,0.743,0.926,6.93E-14,0,CST3
TRAM1.1,5.55E-18,0.272468833,0.187,0.288,9.41E-14,0,TRAM1
TMEM230,5.88E-18,-0.438725285,0.14,0.36,9.99E-14,0,TMEM230
UBE2D1,6.79E-18,-0.400968005,0.08,0.27,1.15E-13,0,UBE2D1
AP2M1,6.91E-18,-0.448977257,0.13,0.349,1.17E-13,0,AP2M1
BAX,8.14E-18,-0.482068749,0.17,0.401,1.38E-13,0,BAX
HLA-DQA1.2,9.34E-18,-0.928089487,0.337,0.613,1.59E-13,0,HLA-DQA1
TMEM219,1.02E-17,-0.393204633,0.163,0.38,1.73E-13,0,TMEM219
CHCHD10.1,1.13E-17,-0.368741325,0.18,0.393,1.93E-13,0,CHCHD10
TRAPPC1,1.15E-17,-0.406166306,0.203,0.435,1.95E-13,0,TRAPPC1
TMEM176B,1.15E-17,-0.791019272,0.143,0.387,1.95E-13,0,TMEM176B
LAP3,1.18E-17,-0.566847268,0.093,0.298,1.99E-13,0,LAP3
BCL2A1.2,1.19E-17,-1.026686472,0.123,0.362,2.02E-13,0,BCL2A1
ATP6V0C,1.23E-17,-0.252700699,0.34,0.577,2.09E-13,0,ATP6V0C
UXT,1.25E-17,-0.483201933,0.15,0.382,2.12E-13,0,UXT
NDUFS4.1,1.45E-17,-0.545234592,0.083,0.287,2.47E-13,0,NDUFS4
MYDGF.1,1.47E-17,-0.331727672,0.137,0.34,2.49E-13,0,MYDGF
PPIG,1.47E-17,0.333587819,0.233,0.346,2.50E-13,0,PPIG
CLEC7A,1.64E-17,0.308053345,0.263,0.384,2.78E-13,0,CLEC7A
SNRPF,1.77E-17,-0.272524911,0.193,0.405,3.01E-13,0,SNRPF
RNASE6.1,1.78E-17,-0.548803178,0.23,0.478,3.03E-13,0,RNASE6
GLRX,1.86E-17,-0.603221992,0.16,0.398,3.17E-13,0,GLRX
POLR2E,2.00E-17,-0.261892476,0.107,0.282,3.40E-13,0,POLR2E
S100A6,2.09E-17,-0.378019356,0.787,0.952,3.54E-13,0,S100A6
PSMB9,2.18E-17,-0.464638111,0.183,0.414,3.71E-13,0,PSMB9
PDIA6.1,2.24E-17,-0.453946877,0.12,0.329,3.81E-13,0,PDIA6
SERBP1,2.33E-17,-0.365733751,0.167,0.383,3.95E-13,0,SERBP1
TMEM147,2.43E-17,-0.254014483,0.12,0.3,4.12E-13,0,TMEM147
PSMG2.1,2.87E-17,0.317466796,0.187,0.307,4.88E-13,0,PSMG2
PSMB10,2.88E-17,-0.393301185,0.187,0.414,4.89E-13,0,PSMB10
LST1.2,3.25E-17,-0.373596187,0.43,0.683,5.52E-13,0,LST1
TSC22D3.1,3.40E-17,0.402760501,0.45,0.57,5.78E-13,0,TSC22D3
STXBP2.1,4.08E-17,-0.528113234,0.123,0.336,6.92E-13,0,STXBP2
STMP1,4.16E-17,-0.656058841,0.107,0.328,7.06E-13,0,STMP1
HSPB1,4.17E-17,0.568801402,0.463,0.582,7.07E-13,0,HSPB1
LGALS9,4.68E-17,0.262728028,0.207,0.329,7.94E-13,0,LGALS9
ACP1,4.78E-17,-0.375600865,0.067,0.236,8.12E-13,0,ACP1
LIMS1.1,5.41E-17,0.277407631,0.293,0.434,9.18E-13,0,LIMS1
BCAP31,6.74E-17,-0.426353328,0.157,0.374,1.14E-12,0,BCAP31
S100A4.1,6.93E-17,-0.747308558,0.59,0.826,1.18E-12,0,S100A4
RACK1,7.19E-17,-0.473383324,0.617,0.845,1.22E-12,0,RACK1
PSMD4,7.36E-17,-0.320752662,0.09,0.269,1.25E-12,0,PSMD4
BID,7.42E-17,-0.864161222,0.033,0.215,1.26E-12,0,BID
CSF1R.2,8.10E-17,0.260639287,0.193,0.302,1.38E-12,0,CSF1R
SNX2,8.28E-17,-0.41636134,0.077,0.261,1.40E-12,0,SNX2
ATG3,8.39E-17,-0.335743816,0.097,0.282,1.42E-12,0,ATG3
UBXN4,1.09E-16,0.340604221,0.243,0.345,1.85E-12,0,UBXN4
SMIM26,1.12E-16,-0.276738932,0.197,0.402,1.89E-12,0,SMIM26
SNRPB2,1.28E-16,-0.308504249,0.203,0.42,2.17E-12,0,SNRPB2
MRPL51,1.30E-16,-0.325523802,0.157,0.359,2.21E-12,0,MRPL51
ORMDL2,1.32E-16,-0.320486379,0.063,0.225,2.24E-12,0,ORMDL2
HSD17B11,1.33E-16,-0.626121447,0.087,0.295,2.25E-12,0,HSD17B11
MCTS1,1.34E-16,-0.340105906,0.057,0.223,2.27E-12,0,MCTS1
CD9.2,1.34E-16,-0.735227359,0.247,0.495,2.27E-12,0,CD9
EEF1G,1.35E-16,-0.280912078,0.483,0.716,2.29E-12,0,EEF1G
NDUFB5,1.38E-16,-0.470387387,0.12,0.327,2.34E-12,0,NDUFB5
IFNGR1.2,1.78E-16,0.259146984,0.373,0.512,3.02E-12,0,IFNGR1
ELOC.1,1.82E-16,-0.427328177,0.157,0.37,3.08E-12,0,ELOC
PRELID1,2.00E-16,-0.343614096,0.18,0.392,3.40E-12,0,PRELID1
RBM3,2.07E-16,-0.422994976,0.243,0.481,3.52E-12,0,RBM3
WBP2,2.24E-16,0.250275032,0.097,0.199,3.81E-12,0,WBP2
EIF3G.1,2.25E-16,-0.414633198,0.157,0.376,3.81E-12,0,EIF3G
GDI2.1,2.38E-16,-0.356641498,0.187,0.407,4.03E-12,0,GDI2
ALKBH7,2.44E-16,-0.333481988,0.097,0.282,4.13E-12,0,ALKBH7
SDHD,2.46E-16,-0.57215089,0.08,0.278,4.18E-12,0,SDHD
CD86.1,2.49E-16,-0.523200892,0.153,0.372,4.22E-12,0,CD86
TXN.2,2.83E-16,-1.658046025,0.39,0.652,4.80E-12,0,TXN
PET100,2.86E-16,-0.57370263,0.19,0.422,4.85E-12,0,PET100
EVI2B,3.12E-16,-0.299421724,0.207,0.416,5.29E-12,0,EVI2B
CHMP4A,4.06E-16,-0.506898903,0.073,0.261,6.89E-12,0,CHMP4A
SF3B2,4.25E-16,0.254921942,0.153,0.258,7.21E-12,0,SF3B2
CD14,4.39E-16,-0.536793813,0.257,0.505,7.45E-12,0,CD14
C17orf49,5.39E-16,-0.445346407,0.08,0.269,9.14E-12,0,C17orf49
ZFAND5,5.56E-16,0.312156115,0.353,0.469,9.44E-12,0,ZFAND5
EIF1B,5.66E-16,-0.499047111,0.123,0.334,9.61E-12,0,EIF1B
TOMM22,6.66E-16,-0.450773877,0.07,0.252,1.13E-11,0,TOMM22
ATP5F1A,6.82E-16,-0.370982965,0.143,0.349,1.16E-11,0,ATP5F1A
TPT1,8.00E-16,-0.283255144,0.867,0.982,1.36E-11,0,TPT1
TXNL1,9.30E-16,-0.436711423,0.077,0.258,1.58E-11,0,TXNL1
S100A8.2,1.15E-15,-2.073777231,0.167,0.402,1.94E-11,0,S100A8
MICOS13,1.25E-15,-0.280142825,0.123,0.295,2.12E-11,0,MICOS13
MRPL57,1.25E-15,-0.47039716,0.143,0.361,2.12E-11,0,MRPL57
APEX1.1,1.28E-15,-0.385771965,0.083,0.254,2.17E-11,0,APEX1
IGSF6.1,1.35E-15,-0.500997949,0.19,0.409,2.29E-11,0,IGSF6
RAP1A,1.40E-15,0.250841905,0.293,0.417,2.37E-11,0,RAP1A
ATP6V1B2,1.43E-15,0.265781642,0.23,0.35,2.44E-11,0,ATP6V1B2
SAT2,1.79E-15,0.262881875,0.183,0.291,3.03E-11,0,SAT2
EMC3,1.81E-15,-0.531880671,0.037,0.198,3.08E-11,0,EMC3
PGAM1,1.93E-15,-0.444474095,0.147,0.358,3.27E-11,0,PGAM1
ACP5.2,2.09E-15,-0.698269143,0.107,0.303,3.54E-11,0,ACP5
WDR83OS,2.28E-15,-0.500513722,0.16,0.388,3.87E-11,0,WDR83OS
RAB8A,2.52E-15,-0.283284369,0.073,0.232,4.28E-11,0,RAB8A
OSTC.1,2.75E-15,-0.335040984,0.18,0.385,4.66E-11,0,OSTC
PGD,3.03E-15,-0.282926299,0.08,0.235,5.13E-11,0,PGD
RAB5C,3.38E-15,-0.364055531,0.147,0.345,5.74E-11,0,RAB5C
GHITM,3.54E-15,-0.280476629,0.16,0.352,6.01E-11,0,GHITM
PILRA,4.30E-15,-0.545079658,0.047,0.205,7.31E-11,0,PILRA
UQCRC1,4.44E-15,-0.288699051,0.093,0.259,7.53E-11,0,UQCRC1
TMEM167A,4.62E-15,-0.274943645,0.157,0.347,7.85E-11,0,TMEM167A
TUBA1A.1,4.71E-15,-0.328931078,0.103,0.275,7.99E-11,0,TUBA1A
ATF5,5.37E-15,-0.514129878,0.033,0.176,9.11E-11,0,ATF5
VAMP5,5.57E-15,-0.511816985,0.11,0.297,9.45E-11,0,VAMP5
BASP1,5.80E-15,-0.301453455,0.11,0.275,9.85E-11,0,BASP1
BLVRB,6.53E-15,-0.340275131,0.13,0.323,1.11E-10,0,BLVRB
WASF2.2,6.76E-15,0.282767274,0.187,0.299,1.15E-10,0,WASF2
SERPINA1.1,8.75E-15,-0.338160476,0.277,0.504,1.48E-10,0,SERPINA1
DNAJC15,8.97E-15,-0.256256461,0.18,0.373,1.52E-10,0,DNAJC15
PSMA5,1.14E-14,-0.334931131,0.113,0.286,1.94E-10,0,PSMA5
POLR2I,1.35E-14,-0.308668793,0.09,0.254,2.28E-10,0,POLR2I
FKBP8,1.37E-14,-0.250721635,0.133,0.302,2.32E-10,0,FKBP8
CFD.1,1.39E-14,-0.506742341,0.123,0.31,2.36E-10,0,CFD
LDHA.1,1.41E-14,-0.553945299,0.333,0.578,2.40E-10,0,LDHA
LTA4H,1.43E-14,-0.408634619,0.077,0.24,2.43E-10,0,LTA4H
CFP.1,2.45E-14,-0.756616861,0.013,0.149,4.17E-10,0,CFP
RAB5IF,2.68E-14,-0.387781247,0.133,0.325,4.54E-10,0,RAB5IF
LMAN2,2.84E-14,-0.386868302,0.11,0.297,4.82E-10,0,LMAN2
NINJ1,3.02E-14,-0.458237317,0.08,0.252,5.13E-10,0,NINJ1
S100A11,3.42E-14,-0.356010111,0.823,0.959,5.81E-10,0,S100A11
VSIG4.1,3.74E-14,-0.346032657,0.19,0.37,6.36E-10,0,VSIG4
NAA38,4.31E-14,-0.320223375,0.133,0.315,7.32E-10,0,NAA38
PHB,4.70E-14,-0.359364294,0.073,0.233,7.98E-10,0,PHB
TMEM9B,4.79E-14,-0.298685739,0.06,0.212,8.12E-10,0,TMEM9B
HSPD1,5.30E-14,0.304440707,0.197,0.323,8.99E-10,0,HSPD1
OSTF1.1,5.31E-14,-0.534696026,0.11,0.301,9.02E-10,0,OSTF1
PPA1.2,5.32E-14,-0.604163714,0.197,0.415,9.02E-10,0,PPA1
PNRC1,6.44E-14,-0.259377159,0.337,0.545,1.09E-09,0,PNRC1
ATP6V0D1,7.14E-14,-0.452056464,0.087,0.264,1.21E-09,0,ATP6V0D1
CTSD.2,7.80E-14,-0.90853903,0.42,0.66,1.32E-09,0,CTSD
CREG1.1,7.90E-14,-0.369598822,0.167,0.355,1.34E-09,0,CREG1
CLEC2B.1,8.28E-14,-0.317612803,0.193,0.389,1.41E-09,0,CLEC2B
TGIF1,9.55E-14,-0.278174323,0.09,0.244,1.62E-09,0,TGIF1
CKLF,1.02E-13,-0.26923686,0.3,0.497,1.73E-09,0,CKLF
CNIH1,1.12E-13,-0.323875174,0.083,0.239,1.90E-09,0,CNIH1
RAB1A,1.18E-13,-0.254828991,0.17,0.339,2.00E-09,0,RAB1A
HMOX1.1,1.40E-13,-0.537440071,0.127,0.304,2.37E-09,0,HMOX1
MTIF3,1.45E-13,-0.250358024,0.087,0.238,2.45E-09,0,MTIF3
C5AR1,1.47E-13,-0.562315753,0.073,0.24,2.49E-09,0,C5AR1
HSD17B10,1.49E-13,-0.448022813,0.067,0.232,2.52E-09,0,HSD17B10
ETFB,1.67E-13,-0.284021754,0.103,0.266,2.84E-09,0,ETFB
TOMM6,1.80E-13,-0.453379705,0.15,0.354,3.06E-09,0,TOMM6
RAB8B,2.01E-13,-0.256491235,0.047,0.178,3.41E-09,0,RAB8B
TREM1.1,2.91E-13,-0.46057942,0.053,0.193,4.94E-09,0,TREM1
GRSF1.1,3.12E-13,-0.532719564,0.04,0.182,5.29E-09,0,GRSF1
PLAUR.1,3.46E-13,-0.553459455,0.193,0.4,5.88E-09,0,PLAUR
CAT.1,3.58E-13,-0.27695363,0.093,0.234,6.07E-09,0,CAT
C1orf43,3.63E-13,-0.294062275,0.117,0.281,6.16E-09,0,C1orf43
MS4A4A.1,3.75E-13,-0.539946008,0.14,0.339,6.37E-09,0,MS4A4A
CLNS1A.2,5.06E-13,-0.29686752,0.09,0.242,8.58E-09,0,CLNS1A
RILPL2,5.37E-13,-0.356023894,0.093,0.252,9.12E-09,0,RILPL2
PLGRKT,5.44E-13,-0.511309942,0.027,0.167,9.23E-09,0,PLGRKT
SDSL,6.56E-13,-0.316160066,0.023,0.145,1.11E-08,0,SDSL
GUSB,6.59E-13,-0.284972061,0.057,0.185,1.12E-08,0,GUSB
VKORC1,7.08E-13,-0.497040036,0.11,0.294,1.20E-08,0,VKORC1
SQOR,9.18E-13,-0.451215553,0.09,0.262,1.56E-08,0,SQOR
FPR1.1,9.37E-13,-0.751655181,0.107,0.297,1.59E-08,0,FPR1
CAPG.1,1.02E-12,-0.254194548,0.417,0.625,1.72E-08,0,CAPG
FCN1.1,1.08E-12,-1.434093165,0.063,0.232,1.83E-08,0,FCN1
PCMT1,1.39E-12,-0.383916871,0.063,0.213,2.36E-08,0,PCMT1
FUNDC2,1.81E-12,-0.350500767,0.043,0.177,3.07E-08,0,FUNDC2
LAGE3,1.88E-12,-0.468424001,0.047,0.193,3.20E-08,0,LAGE3
LY6E.1,2.52E-12,-0.655223484,0.197,0.406,4.27E-08,0,LY6E
TRAPPC6A,2.55E-12,-0.33904809,0.06,0.201,4.32E-08,0,TRAPPC6A
MRPL54,2.59E-12,-0.438835502,0.107,0.274,4.40E-08,0,MRPL54
FUOM,3.26E-12,-0.290952459,0.05,0.174,5.53E-08,0,FUOM
FGL2.1,3.32E-12,0.268603949,0.27,0.381,5.64E-08,0,FGL2
MRPS15,3.39E-12,-0.377920129,0.07,0.22,5.75E-08,0,MRPS15
MRPS33,3.54E-12,-0.316568356,0.07,0.215,6.01E-08,0,MRPS33
TMEM14B,3.94E-12,-0.309409475,0.147,0.315,6.69E-08,0,TMEM14B
EMC7,3.99E-12,-0.260068806,0.073,0.215,6.76E-08,0,EMC7
MTHFS,5.16E-12,-0.355354581,0.04,0.167,8.76E-08,0,MTHFS
MIF.1,5.67E-12,-0.479965811,0.577,0.775,9.63E-08,0,MIF
TXNDC17,6.68E-12,-0.326468254,0.147,0.314,1.13E-07,0,TXNDC17
PLIN2.1,6.98E-12,-0.540019617,0.19,0.377,1.18E-07,0,PLIN2
RNF43,7.36E-12,-0.338040657,0.083,0.243,1.25E-07,0,RNF43
NAMPT.1,8.94E-12,-0.319177041,0.227,0.414,1.52E-07,0,NAMPT
ETHE1,9.01E-12,-0.592368593,0.033,0.173,1.53E-07,0,ETHE1
EVI2A,9.81E-12,-0.413271542,0.16,0.339,1.67E-07,0,EVI2A
CLEC4A,1.31E-11,-0.658521258,0.03,0.164,2.23E-07,0,CLEC4A
YPEL5,1.43E-11,-0.276134262,0.097,0.243,2.42E-07,0,YPEL5
SURF1,1.61E-11,-0.302679266,0.06,0.189,2.73E-07,0,SURF1
EIF3D.1,1.62E-11,-0.310175941,0.123,0.286,2.75E-07,0,EIF3D
DHRS4L2,1.73E-11,-0.274376685,0.033,0.143,2.93E-07,0,DHRS4L2
CNIH4.1,1.98E-11,-0.310873299,0.087,0.231,3.37E-07,0,CNIH4
VIM,2.22E-11,-0.282506559,0.75,0.905,3.77E-07,0,VIM
NFKBIA,2.66E-11,-0.316898702,0.453,0.648,4.51E-07,0,NFKBIA
UBE2E2,2.69E-11,-0.485833028,0.03,0.153,4.57E-07,0,UBE2E2
RAB32,2.86E-11,-0.359724302,0.067,0.198,4.86E-07,0,RAB32
SS18L2,5.39E-11,-0.273324511,0.057,0.176,9.15E-07,0,SS18L2
HLA-A,5.64E-11,-0.276325821,0.767,0.914,9.57E-07,0,HLA-A
MIEN1,6.25E-11,-0.371807839,0.08,0.225,1.06E-06,0,MIEN1
COMMD8,6.51E-11,-0.473066048,0.037,0.168,1.10E-06,0,COMMD8
SUCLG1,6.69E-11,-0.457373212,0.05,0.184,1.14E-06,0,SUCLG1
PTRHD1.1,6.85E-11,-0.351434231,0.093,0.242,1.16E-06,0,PTRHD1
HLA-DPA1.2,7.44E-11,-0.800118114,0.723,0.858,1.26E-06,0,HLA-DPA1
CHP1,7.81E-11,-0.358558746,0.05,0.177,1.33E-06,0,CHP1
NAPA,8.41E-11,-0.2519632,0.07,0.196,1.43E-06,0,NAPA
CTSB.2,9.56E-11,-0.383556598,0.573,0.758,1.62E-06,0,CTSB
UBE2L6,9.96E-11,-0.273095598,0.107,0.249,1.69E-06,0,UBE2L6
ITGB1BP1,1.15E-10,-0.374117739,0.05,0.18,1.96E-06,0,ITGB1BP1
GLB1,1.26E-10,-0.434215102,0.023,0.137,2.15E-06,0,GLB1
CALHM6.1,1.33E-10,-0.54012739,0.137,0.306,2.26E-06,0,CALHM6
BLOC1S2,1.62E-10,-0.362542041,0.077,0.212,2.76E-06,0,BLOC1S2
PLBD1,1.64E-10,-0.369229226,0.077,0.212,2.78E-06,0,PLBD1
SNF8,1.73E-10,-0.322387307,0.06,0.185,2.93E-06,0,SNF8
SDS,1.77E-10,-0.676770947,0.033,0.154,3.00E-06,0,SDS
IFI6.1,2.16E-10,-0.484943025,0.257,0.444,3.66E-06,0,IFI6
MRPS14,2.33E-10,-0.402646358,0.027,0.139,3.96E-06,0,MRPS14
LSM2,2.56E-10,-0.48894458,0.073,0.221,4.35E-06,0,LSM2
TMEM208,2.70E-10,-0.337291584,0.077,0.212,4.58E-06,0,TMEM208
SRA1,2.85E-10,-0.304487169,0.07,0.198,4.83E-06,0,SRA1
CBR1,4.44E-10,-0.338919645,0.037,0.148,7.54E-06,0,CBR1
TMEM70,4.67E-10,-0.289013162,0.087,0.215,7.93E-06,0,TMEM70
SNX17,5.39E-10,-0.314735969,0.07,0.195,9.14E-06,0,SNX17
MARCO.1,5.64E-10,-0.868058651,0.03,0.148,9.57E-06,0,MARCO
PHF5A,5.87E-10,-0.453604817,0.04,0.163,9.97E-06,0,PHF5A
CD302.1,5.97E-10,-0.424326189,0.157,0.319,1.01E-05,0,CD302
MGST1,6.19E-10,-0.484003143,0.04,0.162,1.05E-05,0,MGST1
PYURF,6.38E-10,-0.322522359,0.127,0.278,1.08E-05,0,PYURF
NSMCE1,7.62E-10,-0.412648303,0.06,0.193,1.29E-05,0,NSMCE1
SOD2.1,8.30E-10,-0.280215931,0.343,0.522,1.41E-05,0,SOD2
CD52.1,1.01E-09,-0.427917661,0.283,0.465,1.72E-05,0,CD52
LIPA.1,1.02E-09,-0.684010078,0.167,0.338,1.73E-05,0,LIPA
RETN.2,1.09E-09,-0.904918467,0.05,0.179,1.84E-05,0,RETN
RAB34,1.14E-09,-0.338554067,0.033,0.138,1.93E-05,0,RAB34
CYP27A1.1,1.40E-09,-0.570968645,0.037,0.151,2.37E-05,0,CYP27A1
CRIP1,1.56E-09,-0.720391231,0.38,0.579,2.65E-05,0,CRIP1
CD55,1.61E-09,-0.338909962,0.113,0.248,2.73E-05,0,CD55
VDAC3,1.65E-09,-0.339250949,0.083,0.209,2.80E-05,0,VDAC3
ADAM8,1.70E-09,-0.282388474,0.05,0.159,2.89E-05,0,ADAM8
AAMP,1.79E-09,-0.259197113,0.043,0.149,3.03E-05,0,AAMP
CHMP3,1.96E-09,-0.37825067,0.07,0.201,3.33E-05,0,CHMP3
MYO1G,2.10E-09,-0.520353661,0.037,0.153,3.56E-05,0,MYO1G
PSENEN,2.70E-09,-0.348131512,0.127,0.266,4.59E-05,0,PSENEN
WBP11,2.80E-09,-0.297717034,0.033,0.135,4.75E-05,0,WBP11
POP4,2.83E-09,-0.359513284,0.03,0.135,4.80E-05,0,POP4
PSAP,3.61E-09,-0.293700617,0.723,0.873,6.12E-05,0,PSAP
TMEM205,3.90E-09,-0.326466566,0.057,0.168,6.62E-05,0,TMEM205
LGALS2.1,4.20E-09,-0.674983539,0.057,0.184,7.13E-05,0,LGALS2
DNAJB11,5.12E-09,-0.350251129,0.06,0.178,8.70E-05,0,DNAJB11
SDC2.1,5.70E-09,-0.354055287,0.043,0.148,9.68E-05,0,SDC2
HTATIP2,6.97E-09,-0.438549012,0.047,0.165,0.000118367,0,HTATIP2
HACD4,7.36E-09,-0.412054806,0.047,0.163,0.000124981,0,HACD4
NDUFV3,7.76E-09,-0.333922328,0.077,0.199,0.000131698,0,NDUFV3
C15orf48.1,7.98E-09,-0.825595282,0.25,0.433,0.000135468,0,C15orf48
UBE2R2,9.76E-09,-0.28817279,0.073,0.189,0.000165702,0,UBE2R2
GYG1,1.01E-08,-0.424014643,0.023,0.124,0.000171794,0,GYG1
DNASE2,1.20E-08,-0.25409405,0.07,0.18,0.000204205,0,DNASE2
CTSL.2,1.21E-08,-0.71294077,0.223,0.397,0.000205946,0,CTSL
MRPL55,1.68E-08,-0.270019211,0.093,0.212,0.000285177,0,MRPL55
LSM10,1.69E-08,-0.311636942,0.077,0.198,0.000286019,0,LSM10
NCF2.1,1.70E-08,-0.387563507,0.14,0.284,0.000289212,0,NCF2
POLE4,1.77E-08,-0.353980976,0.1,0.226,0.000300837,0,POLE4
RPAIN,1.94E-08,-0.268953395,0.057,0.165,0.00032982,0,RPAIN
GPX1,2.20E-08,-0.509342226,0.687,0.819,0.000373792,0,GPX1
IFT20,2.27E-08,-0.251041659,0.067,0.173,0.00038477,0,IFT20
MTHFD2,2.32E-08,-0.285901274,0.127,0.254,0.000393056,0,MTHFD2
MPLKIP,2.39E-08,-0.269975911,0.087,0.207,0.000406322,0,MPLKIP
NUP214,2.52E-08,-0.2820943,0.093,0.208,0.000428052,0,NUP214
CLEC4E.1,2.75E-08,-0.493157524,0.053,0.167,0.000466484,0,CLEC4E
COX16,2.90E-08,-0.306700917,0.14,0.279,0.000492699,0,COX16
ISG15.1,2.97E-08,-0.259369873,0.28,0.428,0.000504214,0,ISG15
FBP1.1,2.97E-08,-0.484955458,0.117,0.257,0.000504538,0,FBP1
TNIP1,3.72E-08,-0.3258006,0.04,0.141,0.000631105,0,TNIP1
TPRKB,3.78E-08,-0.378072375,0.073,0.192,0.000641614,0,TPRKB
ABI3.1,4.68E-08,-0.339514199,0.077,0.192,0.000793497,0,ABI3
AREG.1,5.02E-08,-0.781012319,0.137,0.286,0.000851977,0,AREG
PYM1,5.27E-08,-0.310403458,0.057,0.162,0.000893643,0,PYM1
NUBP1,1.02E-07,-0.308903762,0.043,0.144,0.001734369,0,NUBP1
